,App Name,App Id,Category,Rating,Rating Count,Installs,Minimum Installs,Maximum Installs,Free,Price,Currency,Size,Minimum Android,Developer Id,Developer Website,Developer Email,Released,Last Updated,Content Rating,Privacy Policy,Ad Supported,In App Purchases,Editors Choice,Scraped Time,Big_Category2,App,original_image,blue_channel,green_channel,red_channel,red_channel_scaled,blue_channel_scaled,green_channel_scaled
108,ESCAPE - Secret of the Hidden Room: Collaborator,com.PuzzleSpace.HiddenRoomGame,Adventure,4.5,10553.0,"100,000+",100000.0,375145,True,0.0,USD,30M,4.1 and up,PuzzleSpace,http://puzzlespace.co.kr,admin@puzzlespace.co.kr,"May 30, 2018","May 18, 2020",Everyone 10+,http://puzzlespace.co.kr/policy/,True,True,False,2021-06-16 01:10:18,Games,,,,,,,,
113,먼슬리씽 - 건강한 여성들의 생활케어,com.monthlything.aos,Health & Fitness,4.3,1077.0,"100,000+",100000.0,116518,True,0.0,USD,42M,5.0 and up,THINGS Inc.,https://www.monthlything.com,support@monthlything.com,"Jan 3, 2019","May 24, 2021",Everyone,http://monthlything.com/privacy-policy,False,False,False,2021-06-16 05:58:04,Lifestyle,,,,,,,,
114,Билеты ПДД 2021 и Экзамен ПДД онлайн правила ПДД,ru.drom.pdd.android.app,Auto & Vehicles,4.9,292481.0,"5,000,000+",5000000.0,6844014,True,0.0,USD,59M,5.0 and up,Дром,https://www.drom.ru/pdd/,mobile@drom.ru,"Mar 21, 2017","May 27, 2021",Everyone,https://www.drom.ru/about/reprint/,False,False,False,2021-06-16 07:38:45,Lifestyle,,,,,,,,
116,Diamond Kingdom - Free diamonds & fire elite pass,com.sc.diamond.kingdom,Casual,3.9,118.0,"10,000+",10000.0,21754,True,0.0,USD,12M,4.4 and up,KCS Devlopers,https://diamondkingdomapp.blogspot.com/,talentsgrowhelp@gmail.com,"Apr 10, 2021","May 06, 2021",Everyone,,True,False,False,2021-06-16 11:19:00,Games,,,,,,,,
117,"Text free Now: Free Call,International Call",dateme_now.textmeinc.textme_now.text,Social,4.1,902.0,"50,000+",50000.0,74140,True,0.0,USD,18M,4.1 and up,chat world inc,,chatmedia12@gmail.com,"Mar 1, 2020","May 15, 2021",Teen,https://docs.google.com/document/d/105mjkBCAGdFMrBLvGF50lDD8Z-CZQbFEf_33OpxVg8M/edit?usp=sharing,True,False,False,2021-06-15 22:25:23,Lifestyle,,,,,,,,
119,Eğitim Takvimi,tr.gov.eba.egitimtakvimi,Education,4.3,16079.0,"1,000,000+",1000000.0,1373806,True,0.0,USD,6.4M,5.0 and up,Eğitim Bilişim Ağı (EBA),,ebaegitimbilisimagi@gmail.com,"Dec 29, 2019","Dec 30, 2020",Everyone,,False,False,False,2021-06-16 11:38:56,Education,,,,,,,,
121,ilahiyat Çıkmış Sorular,fabayazlim.com.aofcikmissorular,Education,4.2,151.0,"10,000+",10000.0,21115,True,0.0,USD,3.9M,4.4 and up,Osman TÜRKMEN,,yazilimfaba@gmail.com,"Feb 3, 2019","Mar 26, 2019",Everyone,,True,False,False,2021-06-15 21:27:44,Education,,,,,,,,
122,"CashMoney : Watch Video & Win Money, Daily Reward",com.love.ly.hdwallpaper.guide.backgrounds,Entertainment,4.0,1538.0,"100,000+",100000.0,140409,True,0.0,USD,18M,4.2 and up,IO Rocinante,,gopalmangukiya2928@gmail.com,"Dec 23, 2020","Mar 18, 2021",Everyone,https://iorocinante.blogspot.com/2020/12/privacy-policy-io-rocinante-built-io.html,True,False,False,2021-06-15 22:44:51,Entertainment,,,,,,,,
123,آي بلوت iBaloot,com.mau.ibaloot,Entertainment,3.5,1171.0,"50,000+",50000.0,87671,True,0.0,USD,90M,4.4 and up,MAU Games,http://ibaloot.net,iBaloot@maugames.com,"Mar 11, 2020","May 04, 2021",Everyone,https://maugames.com/privacy/,True,True,False,2021-06-15 22:55:17,Entertainment,,,,,,,,
128,読めないと恥ずかしい地名漢字2021 - 難読地名の漢字読み方クイズ,jp.flipout.kanjichimei,Education,4.1,103.0,"10,000+",10000.0,31299,True,0.0,USD,15M,5.0 and up,Flipout LLC,https://www.flipout.jp/?googleplay,support@flipout.jp,"Mar 27, 2019","Apr 05, 2021",Mature 17+,https://apps.flipout.jp/privacy.html,True,False,False,2021-06-16 11:34:17,Education,,,,,,,,
140,Think and Learn | Tutor+,com.byjus.tutorplus,Education,3.0,1181.0,"10,000+",10000.0,38007,True,0.0,USD,77M,5.0 and up,BYJU'S,https://byjus.com,webmaster@byjus.com,"Oct 13, 2019","Oct 27, 2020",Everyone,https://byjus.com/privacy-policy/,False,False,False,2021-06-15 22:46:34,Education,,,,,,,,
143,Camera Translator: Translate Multi Languages,com.camera.real.time.translator.camera.translator.all.languages.translator.app,Tools,3.8,113.0,"10,000+",10000.0,16946,True,0.0,USD,15M,5.0 and up,Appex Fun Apps,,aquatrixtechnologies.inc@gmail.com,"Oct 24, 2020","Oct 24, 2020",Everyone,https://appexfunprivacy.blogspot.com/2019/08/privacy-policy.html,True,False,False,2021-06-16 06:28:05,Tools,,,,,,,,
144,Sagalés,com.sagales.appcorporativa,Maps & Navigation,2.7,129.0,"10,000+",10000.0,32810,True,0.0,USD,25M,6.0 and up,Sagalés,http://www.sagales.com,info@sagales.com,"Jan 14, 2019","Mar 30, 2021",Everyone,http://www.sagales.com/politica-app,False,False,False,2021-06-16 01:31:23,Tools,,,,,,,,
145,Seçme Türküler Dinle,com.tc.secmeturkuler,Education,4.2,645.0,"100,000+",100000.0,186651,True,0.0,USD,9.5M,2.1 and up,GİZCENT,,gizcent@gmail.com,"May 11, 2014","Jul 26, 2014",Everyone,https://sites.google.com/view/gizcentapps/ana-sayfa/privaciy-policiy,True,False,False,2021-06-15 20:33:48,Education,,,,,,,,
148,Bíblia Tradução do Novo Mundo,appsmoveis.com.br.biblianovomundo,Books & Reference,3.6,271.0,"50,000+",50000.0,67375,True,0.0,USD,6.0M,4.4 and up,SAM APPS,http://www.aplicativosmoveisbrasil.com.br/,contato.aplicativos.moveis@gmail.com,"Jan 30, 2017","Mar 06, 2021",Everyone,http://www.aplicativosmoveisbrasil.com.br/politica_privacidade_sem_local_app.html,True,False,False,2021-06-15 20:41:18,Entertainment,,,,,,,,
150,Learn Korean - Language & Grammar Learning Pro,com.silvermoonapps.learnkoreanquick,Education,4.7,604.0,"5,000+",5000.0,5752,False,6.99,USD,50M,4.1 and up,LuvLingua,http://www.luvlingua.com,luvlingua@gmail.com,"Apr 22, 2013","Jun 09, 2021",Everyone,http://www.luvlingua.com/privacypolicy_ko_pro.html,False,False,False,2021-06-16 01:33:59,Education,,,,,,,,
153,Kompas Arah Kiblat & Sholat,org.tokoonlineindonesia.apps.kompasarahkiblatdansholat,Tools,4.2,569.0,"50,000+",50000.0,78389,True,0.0,USD,3.1M,2.3 and up,Aku Cinta Indonesia,http://tokoonlineindonesia.org,majulahdigitalindonesia@gmail.com,"Oct 2, 2014","Feb 04, 2017",Everyone,http://tokoonlineindonesia.org/apps/privacy.php,True,False,False,2021-06-15 22:07:06,Tools,,,,,,,,
157,Smashy Race: Busted,com.thinkbox.smashyracebusted,Action,2.9,174.0,"10,000+",10000.0,22216,True,0.0,USD,28M,4.4 and up,ThinkBox,,EvanDonnellyr4@gmail.com,"Sep 30, 2015","Mar 11, 2021",Everyone,http://entity3.com/PublisherSupport/ThinkBox/SmashyRacePrivacyPolicy.htm,True,False,False,2021-06-16 07:42:55,Games,,,,,,,,
162,HázŐrző,com.attrecto.nbt,Educational,3.0,168.0,"10,000+",10000.0,13579,True,0.0,USD,74M,4.0 and up,Nemzeti Bűnmegelőzési Tanács,http://attrecto.com/,info@attrecto.com,"Nov 7, 2016","Oct 11, 2017",Everyone,https://attrecto.com/hazorzoprivacypolicy/,False,False,False,2021-06-16 03:47:10,Education,,,,,,,,
184,Số Xe Phong Thủy - Xem Ý Nghĩa Biển Số Xe,com.sugar.dichbiensoxe,Tools,2.2,262.0,"100,000+",100000.0,184388,True,0.0,USD,1.6M,4.1 and up,Nguyen Thuyet Duong,,thuyetduongdev@gmail.com,"Mar 8, 2020","Mar 08, 2020",Everyone,,True,False,False,2021-06-15 20:52:20,Tools,,,,,,,,
194,Speaker cleaner - Remove water & fix sound,com.boedec.hoel.speaker.cleaner.remove.water,Tools,4.7,33287.0,"1,000,000+",1000000.0,3064773,True,0.0,USD,Varies with device,Varies with device,Hoel Boedec,https://hoelboedec.dev/,hoel.boedec.contact@gmail.com,"May 16, 2019","Jul 20, 2020",Everyone,https://hoelboedec.dev/privacy-policy.html,True,True,False,2021-06-16 12:29:59,Tools,,,,,,,,
197,3km – Dư dùng bán rẻ,vn.threekm.app,Shopping,4.0,211.0,"10,000+",10000.0,23276,True,0.0,USD,Varies with device,Varies with device,3km Technology,https://3km.vn,lanvu@3km.vn,"Mar 14, 2017","Jun 09, 2020",Everyone,https://3km.vn/dieu-khoan-va-dieu-kien-su-dung,False,False,False,2021-06-15 23:58:19,Entertainment,,,,,,,,
200,Dual Sim Selector / Multi Sim Selector,com.steffen_b.multisimselector,Communication,4.2,840.0,"100,000+",100000.0,145925,True,0.0,USD,9.1M,8.0 and up,Steffen Strübe,,multisimselector@gmail.com,"Sep 26, 2019","Jun 15, 2021",Everyone,https://multisimselector.struebe.app/PrivacyPolicy.html,False,True,False,2021-06-16 01:05:03,Tools,,,,,,,,
201,MobiControl | Android Enterprise,net.soti.mobicontrol.androidwork,Business,2.7,288.0,"100,000+",100000.0,136020,True,0.0,USD,24M,5.0 and up,SOTI Inc,http://www.soti.net/androidforwork/,support@soti.net,"Feb 28, 2015","Jun 07, 2021",Everyone,http://www.soti.net/about/legal/policies/soti-privacy-policy/,False,False,False,2021-06-16 03:42:01,Business,,,,,,,,
206,Coches.net - Coches y Vehículos de Segunda Mano,coches.net,Auto & Vehicles,4.5,29416.0,"1,000,000+",1000000.0,4260641,True,0.0,USD,19M,5.0 and up,"Adevinta Spain, S.L.U.",https://www.coches.net,Motor-AppsTeam@scmspain.com,,"Jun 14, 2021",Everyone,https://www.coches.net/condiciones-de-uso/#privacidad,True,False,False,2021-06-16 14:12:59,Lifestyle,,,,,,,,
208,Změňte.to,cz.mforce.zmenteto,Travel & Local,3.2,189.0,"5,000+",5000.0,8227,True,0.0,USD,13M,5.0 and up,Hlavní město Praha,http://zmente.to/,info@zmente.to,"Jul 22, 2019","Apr 06, 2021",Everyone,http://zmente.to/podminky,False,False,False,2021-06-16 05:22:58,Lifestyle,,,,,,,,
214,Mitron - India's Original Short Video App | Indian,com.mitron.tv,Social,3.8,399240.0,"10,000,000+",10000000.0,24929290,True,0.0,USD,94M,5.0 and up,MitronTV,https://mitron.tv,info@mitron.tv,"Apr 11, 2020","Jun 02, 2021",Teen,https://mitron.tv/privacy.html,False,False,False,2021-06-16 13:10:56,Lifestyle,,,,,,,,
216,Secad – atualização em saúde,br.com.secad,Education,4.7,587.0,"10,000+",10000.0,30992,True,0.0,USD,11M,5.0 and up,Artmed Panamericana,http://www.secad.com.br,info@secad.com.br,"Jan 23, 2020","Jun 07, 2021",Everyone,https://www.secad.com.br/politica-de-privacidade/,False,False,False,2021-06-15 20:40:13,Education,,,,,,,,
226,Best Level (Bubble & Laser),pl.netigen.bestlevel,Tools,4.5,602.0,"1,000,000+",1000000.0,4319004,True,0.0,USD,4.6M,5.0 and up,Netigen Tools,http://tools.netigen.pl/,mobile@netigen.pl,"Jul 21, 2014","Apr 09, 2021",Everyone,http://www.netigen.pl/privacy,True,True,False,2021-06-16 08:37:15,Tools,,,,,,,,
236,Uramobil: carsharing in Ekaterinburg & Chelyabinsk,ru.uramobil.app,Auto & Vehicles,2.7,1731.0,"50,000+",50000.0,89661,True,0.0,USD,21M,4.1 and up,Uramobil,http://uramobil.ru,uramobil@yandex.ru,"May 21, 2018","Apr 13, 2021",Everyone,https://uramobil.ru/uramobil_privacy_policy_eng.pdf,False,False,False,2021-06-16 05:47:50,Lifestyle,,,,,,,,
239,Falastro - Günlük Ücretsiz Kahve Falı Bak,com.cagadalabs.falciabla,Entertainment,4.6,27460.0,"500,000+",500000.0,635023,True,0.0,USD,16M,6.0 and up,Samur,http://falastro.co,destek@falastro.co,"May 18, 2017","Apr 19, 2021",Everyone,http://dertloji.com/falciabla/index.html,True,True,False,2021-06-16 02:06:05,Entertainment,,,,,,,,
243,Are you related? Affordable Face DNA Photo App,com.facednatest,Lifestyle,4.6,838.0,"100,000+",100000.0,164494,True,0.0,USD,24M,6.0 and up,DNA Paternity & Ancestry Coupons - FaceDNAtest.com,https://facednatest.com,facednatest@gmail.com,"Apr 25, 2019","May 31, 2021",Everyone,https://facednatest.com/terms-and-conditions/#privacy-policy,False,False,False,2021-06-16 07:49:15,Lifestyle,,,,,,,,
245,"Super Smart Cleaner : Clear RAM, Booster Clean",com.smartapps.max.ram.booster.cleaner.speed,Personalization,4.3,13639.0,"100,000+",100000.0,143032,True,0.0,USD,6.7M,4.0 and up,SmartApps Production,https://smartapps.ufitechsol.com/,psmartapps@gmail.com,"Dec 29, 2018","Mar 11, 2021",Everyone,https://docs.google.com/document/d/17YeD799YuC5264Qiz5lh05q8e8fdGY5fpE6TRhcDhjs,True,False,False,2021-06-16 12:23:16,Tools,,,,,,,,
251,القرآن المجيد Quran Majeed,org.ksmobileapps.Quran,Books & Reference,4.5,396.0,"50,000+",50000.0,68477,True,0.0,USD,9.6M,2.3 and up,KS Mobile Apps,http://www.ksmobileapps.com/,info@ksmobileapps.com,"Jan 25, 2014","Sep 28, 2016",Everyone,,True,False,False,2021-06-16 04:20:10,Entertainment,,,,,,,,
254,Colony Commander:World Domination 4X Strategy MMO,com.amirasaraf.colonymanager,Strategy,4.5,128.0,"10,000+",10000.0,11388,True,0.0,USD,65M,7.0 and up,Asaraf Amir,,amir.asaraf@gmail.com,"Dec 8, 2020","Apr 23, 2021",Teen,http://34.221.114.181:8080/gota/private_policy,True,True,False,2021-06-16 08:31:29,Games,,,,,,,,
256,Carro 100%,sindipecas.brmobile.com.br.sindipecas,Tools,3.1,183.0,"10,000+",10000.0,12676,True,0.0,USD,15M,4.1 and up,Sindipeças,http://www.carro100.com.br,contato@carro100.com.br,"May 3, 2016","Jun 06, 2019",Everyone,http://carro100.com.br/app-pages/termos.html,False,False,False,2021-06-16 02:06:50,Tools,,,,,,,,
258,Birthday Photo Frame - Collage Maker & Bday Status,com.birthday.photoframe.collage.greeting.status,Photography,4.2,397.0,"100,000+",100000.0,179014,True,0.0,USD,20M,4.1 and up,DREAM PHOTO LAB,https://dreamworldinfosoft.com,dreamphotolab2016@gmail.com,"Sep 26, 2018","May 25, 2021",Everyone,https://dreamphotolab.blogspot.com/p/blog-page.html,True,False,False,2021-06-16 10:46:20,Entertainment,,,,,,,,
259,أسباب النزول  - للواحدي,so.ateya.ahmed.tanzeel_reason,Books & Reference,4.4,176.0,"10,000+",10000.0,25989,True,0.0,USD,8.9M,4.1 and up,So Smart Apps,https://cf51b5ad9.app-ads-txt.com,sosmartapp635@gmail.com,"Jul 12, 2019","Nov 23, 2020",Everyone,https://somsmartappsblog.blogspot.com/2019/02/blog-post_12.html,True,False,False,2021-06-16 13:32:16,Entertainment,,,,,,,,
260,Xperia™ Theme | similar,com.mkninc.ios10xperiatheme,Personalization,3.8,920.0,"100,000+",100000.0,244804,True,0.0,USD,26M,4.4 and up,The Gosa,https://www.facebook.com/themexperia,support@mkninc.ru,"Aug 21, 2016","Nov 21, 2018",Everyone,,True,False,False,2021-06-16 04:09:53,Tools,,,,,,,,
263,"머니야 가계부 - 영수증 자동 스캔, 청정원·종가집 포인트 적립, 문자 자동정리 가계부",com.moneya.app,Finance,4.2,202.0,"10,000+",10000.0,29109,True,0.0,USD,17M,5.0 and up,"Marketpro Co., Ltd",http://www.marketpro.co.kr,contact@marketpro.co.kr,"Oct 9, 2018","Jan 25, 2021",Everyone,http://m15.moneya.kr/moneyatrue/youngcart/bbs/privacy_policy.php,False,False,False,2021-06-16 06:31:40,Business,,,,,,,,
266,Free Spanish Keyboard & Spanish language keyboard,com.keyboard.inputmethod.fast.typing.lite.keypad.free.emoji.english.language.spanishkeyboard.spainkeyboard,Tools,3.9,168.0,"50,000+",50000.0,67190,True,0.0,USD,16M,5.0 and up,The Colorful Themes  Keyboard,https://q4832d3c9.app-ads-txt.com,colorthemekeyboard@gmail.com,"Feb 13, 2019","Nov 11, 2020",Everyone,https://colorthemekeyboard.blogspot.com/p/privacy-policy_30.html,True,False,False,2021-06-16 00:13:00,Tools,,,,,,,,
269,Unlimited Stickers for WA: Updated Emojis Stickers,com.continental.forwa.wastickerapp.unlimited.emojis.stickers,Communication,4.9,118.0,"5,000+",5000.0,9201,True,0.0,USD,4.3M,4.1 and up,Continental Apps Store,,feedback.continentalapps@gmail.com,"Aug 10, 2020","Sep 21, 2020",Mature 17+,https://sites.google.com/view/privacy-policy-sticker-app/home,True,False,False,2021-06-16 10:30:01,Tools,,,,,,,,
270,"Drink Water Reminder: Water Tracker, Alarm app",com.thetamobile.waterreminder,Health & Fitness,4.1,106.0,"10,000+",10000.0,43559,True,0.0,USD,5.6M,4.0.3 and up,Fitness Lab,http://fitnesslabsstore.com/,workoutappsstd@gmail.com,"Sep 15, 2017","Sep 15, 2017",Everyone,https://s3-us-west-2.amazonaws.com/thetaapps/PrivacyPolicy.htm,True,False,False,2021-06-16 09:13:18,Lifestyle,,,,,,,,
274,SOMOY TV LIVE | সময় টিভি লাইভ | LIVE TV,io.gonative.android.zypdbr,News & Magazines,4.2,127.0,"50,000+",50000.0,66735,True,0.0,USD,3.9M,4.1 and up,BestApps4,,funbangla.com.bd@gmail.com,"Nov 17, 2020","Dec 12, 2020",Everyone,https://funbangla.com.bd/page.php?name=terms-toa,False,False,False,2021-06-15 22:51:16,Entertainment,,,,,,,,
278,Automobile News & Reviews,com.zumobi.android.automobile,News & Magazines,3.9,5467.0,"100,000+",100000.0,428386,True,0.0,USD,32M,4.1 and up,Motor Trend Group LLC,http://www.automobilemag.com,support@automobilemag.com,"Aug 27, 2010","Jun 14, 2019",Everyone,http://www.ten-discovery.com/privacy/,True,False,False,2021-06-16 10:49:19,Entertainment,,,,,,,,
280,Stork — Pregnancy Tracker & Calendar App,com.minskapple.beremennostplusfree,Medical,4.2,514.0,"50,000+",50000.0,89046,True,0.0,USD,131M,6.0 and up,"Tapston Development, LLC",https://tapston.com,stork@tapston.com,"Jan 15, 2018","May 23, 2021",Everyone,https://tapston.com/la3b88p,False,True,False,2021-06-16 05:22:01,Lifestyle,,,,,,,,
287,Mystic Ebony HD Watch Face Widget & Live Wallpaper,com.denite.watchface.mysticebony,Personalization,4.1,183.0,"10,000+",10000.0,48438,True,0.0,USD,Varies with device,Varies with device,DeNitE Appz,http://deniteappz.com,deniteappz@gmail.com,"Oct 8, 2016","Jan 08, 2020",Everyone,http://deniteappz.com/privacypolicy.htm,True,True,False,2021-06-16 05:34:12,Tools,,,,,,,,
291,L'atelier de Roxane,com.latelierderoxane.roxane.roxanelejeu,Arcade,4.3,9245.0,"500,000+",500000.0,844527,True,0.0,USD,Varies with device,4.4 and up,L'ATELIER DE ROXANE,https://digitalunicorn.fr,Roxanelejeu@gmail.com,"Aug 11, 2020","Apr 18, 2021",Everyone,https://www.privacypolicygenerator.info/live.php?token=jTPNObQU0r24AZJE2n59VI7A7DWxifsE,True,True,False,2021-06-16 04:58:31,Games,,,,,,,,
292,Computer Hardware & Networking course - tutorial,computer.hardware.networking,Education,4.4,367.0,"10,000+",10000.0,41417,True,0.0,USD,10M,4.4 and up,8848 Apps,,8848apps@gmail.com,"Dec 6, 2018","Aug 21, 2020",Everyone,http://c8policy.blogspot.com/p/privicy-policy.html,True,False,False,2021-06-16 04:46:16,Education,,,,,,,,
295,Tänään Jäljellä - TJ-laskuri,com.LoneLED.TanaanJaljella,Entertainment,4.7,582.0,"50,000+",50000.0,55597,True,0.0,USD,5.5M,4.3 and up,MorningSoft,https://tj-laskuri.fi/,android@aamulaskuri.fi,"Aug 12, 2016","Apr 24, 2021",Everyone,https://aamulaskuri.fi/android-privacypolicy,True,True,False,2021-06-16 02:09:55,Entertainment,,,,,,,,
297,Marathi Novel: Maitra Jivanche मैत्र जीवांचे,com.indicapps.marathi.maitra.jivanche,Books & Reference,4.7,104.0,"10,000+",10000.0,11114,True,0.0,USD,4.8M,4.4 and up,Indic Apps,http://indicapps.wordpress.com,apps.indic@gmail.com,"Aug 4, 2017","Oct 20, 2019",Everyone,https://indicapps.wordpress.com/privacy-policy,True,False,False,2021-06-16 03:05:20,Entertainment,,,,,,,,
308,CHILD DEVELOPMENT & PEDAGOGY  (BALVIKASH) QUIZ,com.yogendrakushwah151995.CHILD_DEVELOPMENT,Education,4.2,235.0,"100,000+",100000.0,156348,True,0.0,USD,7.7M,4.4 and up,Exam Point,,Yogendrakushwah151995@gmail.com,"Feb 13, 2018","Dec 14, 2019",Everyone,http://apkprivacypolicy1.blogspot.com/p/privacy-policy-exam-point-built-child.html,True,False,False,2021-06-15 22:31:04,Education,,,,,,,,
321,"GATE Exam Preparation for CE, ME, EE, ECE, CS & IT",com.engineeringexam.gateapp,Education,4.0,484.0,"10,000+",10000.0,26934,True,0.0,USD,25M,5.0 and up,Books App Studio,https://myselfatish.blogspot.com/,booksappstudio@gmail.com,"Jun 13, 2020","Apr 23, 2021",Everyone,https://docs.google.com/document/d/19gNzdK-amIL1Us0fFA0hctgrsP_7qcrN8xkNphx_uPI/edit?usp=sharing,True,True,False,2021-06-16 13:03:46,Education,,,,,,,,
323,Russian <> Estonian dictionary,com.prodict.ee,Education,4.5,303.0,"10,000+",10000.0,18795,True,0.0,USD,3.9M,4.0.3 and up,ProDict,,prodictionarys@gmail.com,"Jan 9, 2014","Oct 22, 2019",Everyone,https://sites.google.com/site/prodictpolice/,True,False,False,2021-06-16 14:42:40,Education,,,,,,,,
